catagory,action-link-href,name,company,rate,privacy-policy-link-href
Smart home,https://assistant.google.com/services/a/uid/0000006b59c536cf,Master Automation,Master S.r.l. Divisione Elettrica,4.5,http://www.master.it/privacy.php?l=en
Smart home,https://assistant.google.com/services/a/uid/00000090d5554018,Control Hub,ALC Wireless,5,http://www.members-cloud.com/policy/ALC
Smart home,https://assistant.google.com/services/a/uid/00000080beb98fe1,Smart Control,MSR IT Solution Pvt Ltd,4,http://www.msrlimited.com/privacy.html
News & magazines,https://assistant.google.com/services/a/uid/00000035d4197f89,NBC News,NBC News,3.6,http://www.nbcuni.com/privacy/mobile-apps/
Smart home,https://assistant.google.com/services/a/uid/0000008e2ffc2dfa,Nexx Home,SimpalTEK,2.9,http://www.nexxgarage.com/privacy
Travel & transportation,https://assistant.google.com/services/a/uid/000000ae9e4f2904,Rail Samachar,Nyros Technologies,3.5,http://www.nyros.com/Privacy.html
Travel & transportation,https://assistant.google.com/services/a/uid/0000004eac045095,Smart City Kakinada,Nyros Technologies,4.2,http://www.nyros.com/Privacy.html
"Movies, photos & TV",https://assistant.google.com/services/a/uid/0000004ce32bea1f,Android Tv Guide,http://www.o2o.kr/,0,http://www.o2o.kr/o2o_privacy-policy-en.html
Shopping,https://assistant.google.com/services/a/uid/0000005d38b68f1e,Out Of Milk,Bonial International GmbH,2.8,http://www.outofmilk.com/Privacy.aspx
Smart home,https://assistant.google.com/services/a/uid/000000a4548df048,X home,powertech1270,4.7,http://www.power-tech.com.tw/uploadfile/about/Privacy_Policy_en.pdf?timestamp=1527244076758
Travel & transportation,https://assistant.google.com/services/a/uid/000000329a620e22,PNR Status,Pragmatic Voice,4.1,http://www.pragmatic-voice.com/privacy_policy.pdf
Smart home,https://assistant.google.com/services/a/uid/0000006f0eea74bc,Smart Light,,4.3,http://www.qmlighting.com/en/privacy_policy.asp
Travel & transportation,https://assistant.google.com/services/a/uid/0000001dc5255b38,Residence St Jean,JustFabCodes,0,http://www.residence-stjean.com/privacy-policy-en/
Smart home,https://assistant.google.com/services/a/uid/000000cbf38c0e61,Sciener Smart,Sciener,0,http://www.sciener.cn/html/protocol.html
Smart home,https://assistant.google.com/services/a/uid/00000049ffa7590d,Smart Rabbit,LiangBoHan,4.5,http://www.secrui-group.cn/index.php/Index/Show/index/pid/87/id/159
Shopping,https://assistant.google.com/services/a/uid/000000bad27b8575,Sephora,Assist,3.9,http://www.sephora.com/privacy-policy
Smart home,https://assistant.google.com/services/a/uid/00000062cd2aced1,Shark,Shark Clean,3.4,http://www.sharkclean.com/privacy-policy/
